"candidacyId","themeId","status","proposalIds","reviewedAt","note"
"280002540694","politica-externa-defesa","pending","",,
"280002540694","outros-temas","pending","",,
"280002551932","economia-impostos","pending","",,
"280002551932","emprego-renda","pending","",,
"280002551932","saude","pending","",,
"280002551932","educacao","pending","",,
"280002551932","seguranca-justica","pending","",,
"280002551932","programas-sociais-habitacao","pending","",,
"280002551932","meio-ambiente-clima","pending","",,
"280002551932","infraestrutura-energia","pending","",,
"280002551932","agricultura-agronegocio","pending","",,
"280002551932","estado-instituicoes","pending","",,
"280002551932","tecnologia-ciencia-inovacao","pending","",,
"280002551932","politica-externa-defesa","pending","",,
"280002551932","outros-temas","pending","",,
"280002552487","economia-impostos","pending","",,
"280002552487","emprego-renda","pending","",,
"280002552487","saude","pending","",,
"280002552487","educacao","pending","",,
"280002552487","seguranca-justica","pending","",,
"280002552487","programas-sociais-habitacao","pending","",,
"280002552487","meio-ambiente-clima","pending","",,
"280002552487","infraestrutura-energia","pending","",,
"280002552487","agricultura-agronegocio","pending","",,
"280002552487","estado-instituicoes","pending","",,
"280002552487","tecnologia-ciencia-inovacao","pending","",,
"280002552487","politica-externa-defesa","pending","",,
"280002552487","outros-temas","pending","",,
"280002538811","economia-impostos","pending","",,
"280002538811","emprego-renda","pending","",,
"280002538811","saude","pending","",,
"280002538811","educacao","pending","",,
"280002538811","seguranca-justica","pending","",,
"280002538811","programas-sociais-habitacao","pending","",,
"280002538811","meio-ambiente-clima","pending","",,
"280002538811","infraestrutura-energia","pending","",,
"280002538811","agricultura-agronegocio","pending","",,
"280002538811","estado-instituicoes","pending","",,
"280002538811","tecnologia-ciencia-inovacao","pending","",,
"280002538811","politica-externa-defesa","pending","",,
"280002538811","outros-temas","pending","",,
"280002548139","economia-impostos","pending","",,
"280002548139","emprego-renda","pending","",,
"280002548139","saude","pending","",,
"280002548139","educacao","pending","",,
"280002548139","seguranca-justica","pending","",,
"280002548139","programas-sociais-habitacao","pending","",,
"280002548139","meio-ambiente-clima","pending","",,
"280002548139","infraestrutura-energia","pending","",,
"280002548139","agricultura-agronegocio","pending","",,
"280002548139","estado-instituicoes","pending","",,
"280002548139","tecnologia-ciencia-inovacao","pending","",,
"280002548139","politica-externa-defesa","pending","",,
"280002548139","outros-temas","pending","",,
"280002539826","economia-impostos","pending","",,
"280002539826","emprego-renda","pending","",,
"280002539826","saude","pending","",,
"280002539826","educacao","pending","",,
"280002539826","seguranca-justica","pending","",,
"280002539826","programas-sociais-habitacao","pending","",,
"280002539826","meio-ambiente-clima","pending","",,
"280002539826","infraestrutura-energia","pending","",,
"280002539826","agricultura-agronegocio","pending","",,
"280002539826","estado-instituicoes","pending","",,
"280002539826","tecnologia-ciencia-inovacao","pending","",,
"280002539826","politica-externa-defesa","pending","",,
"280002539826","outros-temas","pending","",,
